[00:34:41] 📍 Loaded 563 district venues
[00:34:41] 🚀 DISTRICT SCRAPER STARTED
[00:34:46] ⚠ 1020190 status 403
[00:34:46] ⚠ 4332 status 403
[00:34:46] ⚠ 1063452 status 403
[00:34:46] ⚠ 6093 status 403
[00:34:46] ⚠ 1003802 status 403
[00:34:46] ⚠ 1008409 status 403
[00:34:46] ⚠ 9420 status 403
[00:34:46] ⚠ 1005991 status 403
[00:34:46] ⚠ 32294 status 403
[00:34:46] ⚠ 25938 status 403
[00:34:46] ⚠ 1008335 status 403
[00:34:46] ⚠ 26230 status 403
[00:34:46] ⚠ 4902 status 403
[00:34:46] ⚠ 1040228 status 403
[00:34:46] ⚠ 25808 status 403
[00:34:46] ⚠ 1021922 status 403
[00:34:46] ⚠ 25011 status 403
[00:34:46] ⚠ 1012189 status 403
[00:34:46] ⚠ 1037345 status 403
[00:34:47] ⚠ 7618 status 403
[00:34:47] ⚠ 27219 status 403
[00:34:47] ⚠ 16522 status 403
[00:34:47] ⚠ 4051 status 403
[00:34:47] ⚠ 1020453 status 403
[00:34:47] ⚠ 1020547 status 403
[00:34:47] ⚠ 1037510 status 403
[00:34:47] ⚠ 9136 status 403
[00:34:47] ⚠ 1084553 status 403
[00:34:47] ⚠ 1041242 status 403
[00:34:47] ⚠ 1015286 status 403
[00:34:47] ⚠ 1037531 status 403
[00:34:47] ⚠ 5145 status 403
[00:34:47] ⚠ 1041458 status 403
[00:34:47] ⚠ 1075745 status 403
[00:34:47] ⚠ 1041393 status 403
[00:34:47] ⚠ 25571 status 403
[00:34:47] ⚠ 9384 status 403
[00:34:47] ⚠ 3965 status 403
[00:34:47] ⚠ 9174 status 403
[00:34:47] ⚠ 1032461 status 403
[00:34:47] ⚠ 25045 status 403
[00:34:47] ⚠ 1039840 status 403
[00:34:47] ⚠ 26281 status 403
[00:34:47] ⚠ 55466 status 403
[00:34:47] ⚠ 1032460 status 403
[00:34:47] ⚠ 7232 status 403
[00:34:47] ⚠ 1037527 status 403
[00:34:47] ⚠ 30784 status 403
[00:34:47] ⚠ 9194 status 403
[00:34:47] ⚠ 1037491 status 403
[00:34:47] ⚠ 1003767 status 403
[00:34:47] ⚠ 55853 status 403
[00:34:47] ⚠ 1007282 status 403
[00:34:47] ⚠ 1016383 status 403
[00:34:47] ⚠ 5182 status 403
[00:34:47] ⚠ 19513 status 403
