[16:29:22] 📍 Loaded 563 district venues
[16:29:22] 🚀 DISTRICT SCRAPER STARTED
[16:29:29] ⚠ 1065987 status 403
[16:29:29] ⚠ 1052503 status 403
[16:29:29] ⚠ 1015840 status 403
[16:29:29] ⚠ 1064038 status 403
[16:29:29] ⚠ 1041496 status 403
[16:29:29] ⚠ 1036772 status 403
[16:29:29] ⚠ 4050 status 403
[16:29:29] ⚠ 1037514 status 403
[16:29:29] ⚠ 1016381 status 403
[16:29:29] ⚠ 51499 status 403
[16:29:29] ⚠ 27219 status 403
[16:29:29] ⚠ 7679 status 403
[16:29:29] ⚠ 9136 status 403
[16:29:29] ⚠ 5145 status 403
[16:29:29] ⚠ 1041458 status 403
[16:29:29] ⚠ 1084553 status 403
[16:29:29] ⚠ 1015286 status 403
[16:29:29] ⚠ 1037531 status 403
[16:29:29] ⚠ 25571 status 403
[16:29:29] ⚠ 1039840 status 403
[16:29:29] ⚠ 1032460 status 403
[16:29:29] ⚠ 55466 status 403
[16:29:29] ⚠ 25045 status 403
[16:29:29] ⚠ 30784 status 403
[16:29:29] ⚠ 1037527 status 403
[16:29:30] ⚠ 1050804 status 403
[16:29:30] ⚠ 4910 status 403
[16:29:30] ⚠ 1033177 status 403
[16:29:30] ⚠ 9661 status 403
[16:29:30] ⚠ 29954 status 403
[16:29:30] ⚠ 7537 status 403
[16:29:30] ⚠ 28235 status 403
[16:29:30] ⚠ 25281 status 403
[16:29:30] ⚠ 9784 status 403
[16:29:30] ⚠ 1018468 status 403
[16:29:30] ⚠ 17483 status 403
[16:29:30] ⚠ 1041732 status 403
[16:29:30] ⚠ 7826 status 403
[16:29:30] ⚠ 1030383 status 403
[16:29:30] ⚠ 9150 status 403
[16:29:30] ⚠ 27725 status 403
[16:29:30] ⚠ 1041726 status 403
[16:29:30] ⚠ 1006037 status 403
[16:29:30] ⚠ 3145 status 403
[16:29:30] ⚠ 4852 status 403
[16:29:30] ⚠ 1041465 status 403
[16:29:30] ⚠ 1013210 status 403
[16:29:30] ⚠ 7753 status 403
[16:29:30] ⚠ 1074202 status 403
[16:29:30] ⚠ 1055922 status 403
[16:29:30] ⚠ 1028118 status 403
[16:29:30] ⚠ 19110 status 403
[16:29:30] ⚠ 58822 status 403
[16:29:30] ⚠ 4904 status 403
[16:29:30] ⚠ 4163 status 403
[16:29:30] ⚠ 7312 status 403
[16:29:30] ⚠ 7814 status 403
[16:29:30] ⚠ 28863 status 403
[16:29:30] ⚠ 9044 status 403
[16:29:30] ⚠ 4340 status 403
[16:29:30] ⚠ 6096 status 403
[16:29:30] ⚠ 1050768 status 403
[16:29:30] ⚠ 7856 status 403
[16:29:30] ⚠ 1019687 status 403
[16:29:30] ⚠ 4255 status 403
[16:29:30] ⚠ 27432 status 403
[16:29:30] ⚠ 1088778 status 403
[16:29:30] ⚠ 5080 status 403
[16:29:30] ⚠ 7260 status 403
[16:29:30] ⚠ 1041566 status 403
[16:29:30] ⚠ 9131 status 403
[16:29:30] ⚠ 4379 status 403
[16:29:30] ⚠ 1398 status 403
[16:29:30] ⚠ 1026095 status 403
[16:29:30] ⚠ 1042822 status 403
[16:29:30] ⚠ 19289 status 403
[16:29:30] ⚠ 1039748 status 403
[16:29:30] ⚠ 4425 status 403
[16:29:30] ⚠ 7627 status 403
[16:29:30] ⚠ 30441 status 403
[16:29:30] ⚠ 5105 status 403
[16:29:30] ⚠ 1041495 status 403
[16:29:30] ⚠ 9176 status 403
[16:29:30] ⚠ 1031639 status 403
[16:29:30] ⚠ 6079 status 403
[16:29:30] ⚠ 1020350 status 403
[16:29:30] ⚠ 1041211 status 403
[16:29:30] ⚠ 1033524 status 403
[16:29:30] ⚠ 1014297 status 403
[16:29:30] ⚠ 19294 status 403
[16:29:31] ⚠ 1013662 status 403
[16:29:31] ⚠ 1041691 status 403
[16:29:31] ⚠ 10268 status 403
[16:29:31] ⚠ 1054202 status 403
[16:29:31] ⚠ 1009967 status 403
[16:29:31] ⚠ 29510 status 403
[16:29:31] ⚠ 26729 status 403
[16:29:31] ⚠ 24522 status 403
[16:29:31] ⚠ 9497 status 403
[16:29:31] ⚠ 7308 status 403
[16:29:31] ⚠ 9780 status 403
[16:29:31] ⚠ 1039923 status 403
[16:29:31] ⚠ 54684 status 403
[16:29:31] ⚠ 482 status 403
[16:29:31] ⚠ 1031640 status 403
[16:29:31] ⚠ 32811 status 403
[16:29:31] ⚠ 43960 status 403
[16:29:31] ⚠ 1041782 status 403
[16:29:31] ⚠ 1066216 status 403
[16:29:31] ⚠ 33645 status 403
[16:29:31] ⚠ 12947 status 403
[16:29:31] ⚠ 1041729 status 403
[16:29:31] ⚠ 984 status 403
[16:29:31] ⚠ 1055117 status 403
[16:29:31] ⚠ 1041684 status 403
[16:29:31] ⚠ 9291 status 403
[16:29:31] ⚠ 1030384 status 403
[16:29:31] ⚠ 4881 status 403
[16:29:31] ⚠ 1089364 status 403
[16:29:31] ⚠ 1018796 status 403
[16:29:31] ⚠ 9653 status 403
[16:29:31] ⚠ 22884 status 403
[16:29:31] ⚠ 4714 status 403
[16:29:31] ⚠ 1056146 status 403
[16:29:31] ⚠ 9527 status 403
[16:29:31] ⚠ 476 status 403
